id,folder_name,album_slug,album_url,cover_thumbnail_filename,smugmug_image_id,parsed_make,parsed_model,parsed_body_style,parsed_color_raw,luxury_tier,is_vehicle,is_duplicate,missing_thumbnail,is_malformed,is_name_slug_mismatch,homepage_worthy,launch_featured,needs_review
1,Group Photos 04/2026,Group-Photos-042026,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Group-Photos-042026,DSC_1893-L.jpg,i-KD4N4fB,,,,,unknown,false,false,false,false,false,false,false,false
2,Rolls-Royce Cullinan Black:Black-Teal,Rolls-Royce-Cullinan-BlackBlack-Teal,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Rolls-Royce-Cullinan-BlackBlack-Teal,DSC_0819-L.jpg,i-tNdhwL8,Rolls-Royce,Cullinan,SUV,Black-Teal,ultra-luxury,true,false,false,false,false,true,true,false
3,Lamborghini Huracan Spyder Black:Black,Lamborghini-Huracan-Spyder-BlackBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-Spyder-BlackBlack,DSC_0192-L.jpg,i-7MMSRRP,Lamborghini,Huracan,Convertible/Spyder,Black,ultra-luxury,true,false,false,false,false,true,true,false
4,Ford Mustang Ecoboost Convertible White Blue Stripe:Black,Ford-Mustang-Ecoboost-Convertible-White-Blue-StripeBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ford-Mustang-Ecoboost-Convertible-White-Blue-StripeBlack,DSC_0386-L.jpg,i-Xg9P92Q,Ford,Mustang,Convertible,Black,standard,true,false,false,false,false,false,false,false
5,Chevrolet Corvette Z06 Convertible Grey:Red,Chevrolet-Corvette-Z06-Convertible-GreyRed,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Chevrolet-Corvette-Z06-Convertible-GreyRed,DSC_0385-L.jpg,i-LmP7k8r,Chevrolet,Corvette,Convertible,Red,standard,true,false,false,false,false,false,false,false
6,Rolls-Royce Cullinan Black:Black,Rolls-Royce-Cullinan-BlackBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Rolls-Royce-Cullinan-BlackBlack,DSC_0309-L.jpg,i-tLJ65zK,Rolls-Royce,Cullinan,SUV,Black,ultra-luxury,true,false,false,false,false,true,true,false
7,Lamborghini Huracan White:Black,Lamborghini-Huracan-WhiteBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-WhiteBlack,DSC_9707-L.jpg,i-fRkhptH,Lamborghini,Huracan,,Black,ultra-luxury,true,false,false,false,false,true,false,false
8,Chevrolet Corvette Convertible White:Red,Chevrolet-Corvette-Convertible-WhiteRed,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Chevrolet-Corvette-Convertible-WhiteRed,DSC_6287-X2.jpg,i-QGgV7wb,Chevrolet,Corvette,Convertible,Red,standard,true,false,false,false,false,false,false,false
9,Porsche 911 Carrera Convertible Black Edition Black:Black,Porsche-911-Carrera-Convertible-Black-Edition-BlackBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Porsche-911-Carrera-Convertible-Black-Edition-BlackBlack,DSC_4193-L.jpg,i-d6mKKsG,Porsche,911,Convertible,Black,premium,true,false,false,false,false,false,false,false
10,Mercedes-Benz G550 Black:Black,Mercedes-Benz-G550-BlackBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Mercedes-Benz-G550-BlackBlack,DSC_3886-L.jpg,i-k6ttZ4b,Mercedes-Benz,G550,SUV,Black,premium,true,false,false,false,false,false,false,false
